Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,7.6225,7.660714,7.585,7.643214,6.515213,493729600
1/5/2010,7.664286,7.699643,7.616071,7.656429,6.526478,601904800
1/6/2010,7.656429,7.686786,7.526786,7.534643,6.422663,552160000
1/7/2010,7.5625,7.571429,7.466071,7.520714,6.410791,477131200
1/8/2010,7.510714,7.571429,7.466429,7.570714,6.453412,447610800
1/11/2010,7.6,7.607143,7.444643,7.503929,6.396482,462229600
1/12/2010,7.471071,7.491786,7.372143,7.418571,6.323721,594459600
1/13/2010,7.423929,7.533214,7.289286,7.523214,6.412921,605892000
1/14/2010,7.503929,7.516429,7.465,7.479643,6.375782,432894000
1/15/2010,7.533214,7.557143,7.3525,7.354643,6.269228,594067600
1/19/2010,7.440357,7.685357,7.401429,7.68,6.546568,730007600
1/20/2010,7.675357,7.698214,7.482143,7.561786,6.445803,612152800
1/21/2010,7.574286,7.618214,7.400357,7.431071,6.334377,608154400
1/22/2010,7.385,7.410714,7.041429,7.0625,6.020202,881767600
1/25/2010,7.2325,7.310714,7.149643,7.2525,6.182161,1065699600
1/26/2010,7.355357,7.6325,7.235,7.355,6.269532,1867110000
1/27/2010,7.3875,7.520714,7.126071,7.424286,6.328593,1722568400
1/28/2010,7.318929,7.339286,7.096429,7.1175,6.067084,1173502400
1/29/2010,7.181429,7.221429,6.794643,6.859286,5.846979,1245952400
2/1/2010,6.870357,7,6.832143,6.954643,5.928262,749876400
2/2/2010,6.996786,7.011429,6.906429,6.995,5.962662,698342400
2/3/2010,6.970357,7.15,6.943571,7.115357,6.065258,615328000
2/4/2010,7.026071,7.084643,6.841786,6.858929,5.846674,757652000
2/5/2010,6.879643,7,6.816071,6.980714,5.950484,850306800
2/8/2010,6.988929,7.067143,6.928571,6.932857,5.909691,478270800
2/9/2010,7.015,7.053571,6.955357,7.006786,5.972709,632886800
2/10/2010,6.996071,7.021429,6.937857,6.968571,5.940133,370361600
2/11/2010,6.96,7.133929,6.930714,7.095357,6.048208,550345600
2/12/2010,7.075357,7.201429,6.982143,7.156429,6.100268,655468800
2/16/2010,7.212143,7.274643,7.197143,7.264286,6.192209,543737600
2/17/2010,7.2925,7.296786,7.173571,7.233929,6.166331,436396800
2/18/2010,7.201071,7.281786,7.175714,7.2475,6.177898,422825200
2/19/2010,7.209286,7.257143,7.1825,7.2025,6.13954,415469600
2/22/2010,7.226429,7.232143,7.113929,7.157857,6.101485,390563600
2/23/2010,7.142857,7.190357,6.989643,7.037857,5.999196,575094800
2/24/2010,7.079643,7.194286,7.065714,7.166429,6.108792,460566400
2/25/2010,7.049286,7.245,7.031786,7.214286,6.149587,665126000
2/26/2010,7.227857,7.3275,7.214286,7.307857,6.229346,507460800
3/1/2010,7.348214,7.482143,7.3375,7.463929,6.362386,550093600
3/2/2010,7.4975,7.529643,7.419286,7.458929,6.358124,566546400
3/3/2010,7.462143,7.495357,7.426429,7.476071,6.372736,372052800
3/4/2010,7.474286,7.532857,7.451071,7.525357,6.414747,366041200
3/5/2010,7.676429,7.846429,7.665357,7.819643,6.665603,899620400
3/8/2010,7.8575,7.860357,7.794643,7.824286,6.669561,429889600
3/9/2010,7.796786,8.035714,7.781786,7.965,6.789509,920259200
3/10/2010,7.993929,8.052857,7.971429,8.03,6.844915,596218000
3/11/2010,7.996786,8.053571,7.975714,8.053571,6.865008,405700400
3/12/2010,8.120357,8.133214,8.0625,8.092857,6.898497,416323600
